"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57540980";"02";"20895";"";"";"24793";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"7M1234";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-23 12:22:17.762";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540980";"02";"18466";"";"";"24793";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"7M1234";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-23 12:22:17.762";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540981";"02";"17895";"";"";"26366";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"7M1234";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-23 12:13:54.085";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540981";"02";"18657";"";"";"26366";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"7M1234";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-23 12:13:54.085";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540982";"02";"17895";"";"";"26368";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"2345M1";"";"4";"ENSINO INDIVIDUAL";"f";"2009-12-23 11:31:59.275";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540983";"03";"18356";"";"";"24809";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"7T1234";"";"2";"ENSINO INDIVIDUAL";"f";"2009-12-19 17:21:08.023";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540987";"02";"17895";"";"";"20682";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"7M123456";"";"3";"ENSINO INDIVIDUAL";"f";"2009-12-29 16:01:49.489";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540987";"02";"5752197";"";"";"20682";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"7M123456";"";"3";"ENSINO INDIVIDUAL";"f";"2009-12-29 16:01:49.489";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540988";"02";"5752325";"";"";"24808";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"6M1234";"";"3";"ENSINO INDIVIDUAL";"f";"2009-12-31 21:28:05.825";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540989";"02";"5752551";"";"";"26394";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"5M1234";"";"1";"ENSINO INDIVIDUAL";"f";"";"f";"";"";"INTERROMPIDA";"";"Presencial"
